country,emit,gdpcap,renewable,popdense,consumption,investment,govspend
Rwanda,0.086198815,751.1105055,56.88782816,460.8458046,80.64500071,23.97372977,13.85132744
Saudi Arabia,17.81940147,20627.92178,0.000295564,14.75453484,40.30170214,29.85240912,30.00349415
Senegal,0.637241954,1219.249415,10.41719343,75.72040721,72.62336266,23.01733334,14.29927726
Serbia,6.397117589,5588.980728,26.90517356,81.12717814,71.94874907,16.97058257,16.4115099
Sierra Leone,0.126883934,588.2288628,60.97560976,99.36144361,103.0886645,15.56703845,10.24577223
Singapore,8.207765834,55646.61875,1.820886641,7806.77292,37.15808061,27.2222709,10.19090832
Slovak Republic,5.669455793,16342.21626,22.67948333,112.8031488,53.95816603,23.74697338,18.60460977
Slovenia,6.367726166,20890.16643,29.39191469,102.4461092,54.01167967,18.6545903,18.82314255
Somalia,0.047110993,386.437817,0,21.99318392,136.5732796,12.65998138,6.076791065
South Africa,7.669937662,6259.839681,2.255041826,45.65726286,63.68112399,18.00895329,18.98507133
Spain,5.51794436,25742.36883,34.94989057,92.95268592,58.48374614,18.01445819,19.47957943
Sri Lanka,0.970910854,3843.780672,48.47519345,338.8105278,67.35851646,25.69980812,8.992685055
Sudan,0.480940393,2184.542236,64.53590864,20.82598929,44.1399944,37.05884844,18.84139665
Sweden,3.999311639,51545.48361,63.26274771,24.05826177,46.04339427,23.75343565,25.71819541
Switzerland,4.719648777,84776.14217,62.19798175,209.5958526,52.24834151,25.24344601,11.39139254
Syrian Arab Republic,1.404090869,979.1444387,2.309714222,98.00909982,104.4832923,8.44333844,16.90376641
Tajikistan,0.579605995,978.4049812,98.4733714,60.91230636,71.23453739,38.71665705,11.55895311
Tanzania,0.227066833,947.9333496,34.15409055,58.11993452,63.86187082,31.87113175,9.927294507
Thailand,3.841982798,5840.053067,8.538478848,134.4996359,51.34470309,24.52848915,17.12115127
Timor-Leste,0.434675741,1332.791856,0,80.45016812,58.20784968,35.52288811,58.79089261
Togo,0.249892061,570.9099672,75.30864198,134.6416988,71.75436943,31.27729565,17.989406
Tonga,1.190712416,4336.239603,5.907409079,139.9722222,100.9985553,23.34414968,21.31645553
Tunisia,2.726308867,4094.841602,2.835942265,71.96157956,70.90742665,20.98142252,17.80243936
Turkiye,4.477175913,11006.27952,31.95662056,102.0352806,60.0216143,29.55456639,13.80517246
Uganda,0.123477949,847.2676289,92.95052698,190.6315929,76.75078418,22.44329604,8.95453399
Ukraine,4.231515591,2124.662354,4.381646803,77.94720434,67.75379373,13.54870699,18.92414752
United Arab Emirates,21.07764197,38663.38826,0.232401112,130.4265841,35.41256891,23.37807851,12.42858221
United Kingdom,6.159448333,45404.56777,24.84005042,269.1531393,64.45934606,17.21909538,19.39616952
United States,15.56003496,56762.72945,13.22859321,35.06332868,67.35945309,20.44916378,14.33033081
Uruguay,1.946065231,15613.74597,88.55895197,19.49498914,66.83133791,19.78623653,13.83580999
Uzbekistan,3.168481901,2753.971072,20.65293296,71.03699501,64.90298703,22.0905771,13.61688216
Vanuatu,0.516361278,2695.666186,21.25984252,22.24183757,68.47358048,32.04614786,16.46434086
Zambia,0.312354964,1338.290927,96.99382395,21.36075277,50.64668641,38.45327488,14.78059341
Zimbabwe,0.899769991,1445.069702,52.72427644,35.71059067,89.51530654,9.995566525,18.87751257
